pasta,bateria,valor_u,sigma2,num_ciclos
1,B0005,1.0000344626296258,0.000145870965232451,168
1,B0018,0.9997128753546913,0.0005139759838524702,132
1,B0006,0.9998570934198494,0.0004544570740351121,168
1,B0007,1.0000116615971537,0.000133674866265998,168
2,B0027,0.9997565001484747,0.00013047910654107517,28
2,B0026,0.9904667142690642,0.018910076396886702,28
2,B0025,0.999543930579016,8.636596368000716e-05,28
2,B0028,0.9995272900678916,8.69720836796406e-05,28
3,B0039,0.6380208119278472,0.7607255647647295,47
3,B0036,0.9902865376517914,0.008123307360786512,197
3,B0027,0.9997565001484747,0.00013047910654107517,28
3,B0026,0.9904667142690642,0.018910076396886702,28
3,B0032,0.9965201715457637,0.0005260411277155729,40
3,B0029,0.9973083239130632,0.00034552852803203563,40
3,B0040,0.9459141990278006,0.12167886564991222,47
3,B0041,0.15969371445527475,10.450816048994628,67
3,B0033,0.6957521542190418,0.30751384051507524,197
3,B0034,0.9839864554119451,0.011989949970810817,197
3,B0025,0.999543930579016,8.636596368000716e-05,28
3,B0038,0.982662956067946,0.024820556775232733,47
3,B0031,0.9968668270349518,0.0005113011131944313,40
3,B0028,0.9995272900678916,8.69720836796406e-05,28
3,B0030,0.9976087446198423,0.00036176281199384435,40
6,B0056,0.9866479439526021,0.007546073151970971,102
6,B0055,0.9881660248450514,0.005983740094591239,102
6,B0054,0.9800439133807847,0.015291500315631557,103
6,B0053,0.9788768488746771,0.020239459186287515,56
